model,price,depreciation,mileage,eng_cap,power,reg_date,coe_left,no_of_owner,omv,arf,accessories,model_make_id,model_name,model_trim,model_year,model_body,model_engine_cyl,model_engine_fuel,model_drive,model_transmission_type,model_seats,model_weight_kg,model_fuel_cap_l
Audi A3 Sportback 1.0A TFSI S-tronic,68888,16770,80000,999,85,10-Nov-2017,3.63,1,24165,15831,"Bastuck exhaust. S3 steering/RS3 paddle shift. S3 grill. S3 side skirt. S3 brake kit. Bilstein B12 with ECS mount. Superpro LCA bushing. Enkei 18"" rim",507.0,A3 Sportback e-tron,15291.0,2017.0,Hatchback,I4,premium unleaded (recommended),front wheel drive,6-speed automated manual,5.0,1639.9092970521542,40.121
Mercedes-Benz A-Class A200 AMG Line,126000,19460,61200,1332,120,20-Sep-2019,5.49,1,32855,37997,"Alcantara seats, 18"" inch AMG Sports Rims, Digital Instrument Cluster, Bluetooth, Reverse Camera, Navigation System, Electric Tailgate.",298.0,A-Class,11127.0,2019.0,Sedan,I4,premium unleaded (required),front wheel drive,7-speed automated manual,5.0,1489.795918367347,51.0975
Audi Q5 2.0A TFSI Quattro S-tronic,192000,23850,55000,1984,185,26-Feb-2021,6.92,1,43706,53189,"Factory fitted Audi MMI infotainment system, Bluetooth connectivity, LED DRLS, headlights and taillights, leather seats, climate controls and more!",7.0,Q5,3592.0,2021.0,Sport Utility Vehicles,4.0,Premium Unleaded (Required),All Wheel Drive,Automatic,5.0,1849.8866213151928,70.02250000000001
BMW X1 sDrive18i,122888,18790,89350,1499,103,23-Aug-2019,5.42,2,35726,42017,"LED DRL. Keyless Entry/start. Navigation, Auto Tailgate.",147.0,X1,9395.0,2019.0,SUV,I4,premium unleaded (recommended),front wheel drive,8-speed shiftable automatic,5.0,1606.8027210884354,60.938500000000005
Hyundai Tucson 1.6A GLS T-GDi DCT Turbo,66800,17410,78000,1591,130,29-Jun-2017,3.27,2,19786,19786,"Electric seat, multi function steering wheel. Keyless entry/start. Auto LED/DRL headlights. Auto side mirrors. Rear aircon/knockdown seat, reverse cam",235.0,Tucson,16629.0,2017.0,SUV,I4,regular unleaded,front wheel drive,7-speed automated manual,5.0,1527.891156462585,62.074
Toyota Corolla Altis 1.6A ,59800,11020,148000,1598,80,25-Aug-2009,5.42,4,17853,17853,"Leather seats, sports rims, audio player, reverse sensors, auto retractable side mirrors.",364.0,Corolla,37661.0,2009.0,Sedan,4.0,Gasoline,Front,Automatic,5.0,1244.8979591836735,49.962
BMW 5 Series 530i,110777,21790,99000,1998,185,18-Dec-2017,3.74,1,50878,58581,"Multi function steering wheel, keyless entry/start/stop, electric seats, 360 camera, suction door, sports rims.",142.0,5 Series,15416.0,2017.0,Sedan,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,5.0,1698.8662131519277,68.13
Lexus IS Turbo IS200t Executive,66800,19970,136000,1998,180,15-Jun-2016,2.23,4,37505,44507,"Premium Leather Upholstery, Sports rims, Factory Fitted Audio System With Bluetooth Navigation And Auto Climate Control. OZ Racing Rims.",270.0,IS,19889.0,2016.0,Sedan,I4,premium unleaded (required),rear wheel drive,8-speed shiftable automatic,5.0,1624.9433106575964,65.859
Mercedes-Benz GLB-Class GLB200 AMG Line Premium 7-Seater,181800,23650,58337,1332,120,10-Dec-2020,6.71,1,38338,45674,"Keyless go, lane keep assist, auto tailgate, CarPlay, reverse cam, park assist, 64 colours ambient lightings, mirror package, wireless phone charger.",306.0,GLB-Class,8278.0,2020.0,SUV,I4,premium unleaded (required),front wheel drive,8-speed automated manual,5.0,1649.8866213151928,60.18150000000001
Volkswagen Golf 1.4A TSI Highline Sunroof,85800,16040,52500,1395,92,28-Sep-2018,4.51,1,24681,26554,"18"" rims, keyless entry/start, dual climatic aircon with rear aircon, reverse camera, front and rear sensors, auto rain sensors, Sunroof.",386.0,Golf R,15151.0,2018.0,Hatchback,I4,premium unleaded (recommended),all wheel drive,7-speed automated manual,5.0,1529.705215419501,54.8825
Toyota Corolla Altis 1.6A Elegance,56500,16150,92600,1598,90,7-Feb-2017,2.87,2,19990,19990,"Leather seats, sports rims, Toyota DVD player with GPS, reverse camera, electric seats.",364.0,Corolla,17912.0,2017.0,Sedan,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1299.3197278911564,49.962
Ford Mustang 5.0A GT,344777,63740,21000,5038,331,19-Dec-2018,4.74,2,62554,84598,"19"" sports rims. Multi control steering wheel. Selectable multiple drive modes. Factory audio with CarPlay and Bluetooth.",192.0,Mustang,13190.0,2018.0,Convertible,I4,premium unleaded (recommended),rear wheel drive,6-speed manual,4.0,1680.7256235827665,58.6675
Honda HR-V 1.5A DX,57800,14620,87663,1496,96,5-Sep-2017,3.45,2,19608,14608,New Brake Pads! Fresh Coat Of Paint! Silent Under-carriage! Multi-function Steering! Sports Mode! Keyless Entry! Keyless Entry/Engine Start!,40.0,HR-V,16529.0,2017.0,SUV,I4,regular unleaded,front wheel drive,6-speed manual,5.0,1322.9024943310658,49.962
BMW X1 sDrive18i,108800,18130,62000,1499,103,31-Jan-2019,4.86,1,35224,41314,"Auto LED headlights. LED DRL. Keyless entry/start. Navigation, front and rear sensors with camera. Front electric seats driver memory, auto tailgate.",147.0,X1,9395.0,2019.0,SUV,I4,premium unleaded (recommended),front wheel drive,8-speed shiftable automatic,5.0,1606.8027210884354,60.938500000000005
BMW 3 Series 320i Efficient Dynamics,35800,17410,123007,1598,125,12-May-2015,0.05,2,35713,31999,Premium upholstery electric/memory seats. BMW Bluetooth entertainment system.,9.0,3 Series,21258.0,2015.0,Sedan,I4,premium unleaded (required),rear wheel drive,8-speed shiftable automatic,5.0,1514.7392290249434,59.803
BMW 4 Series 420i Gran Coupe,129000,19900,65000,1998,135,29-May-2019,5.18,3,42566,51593,"Comfort access, navigation, LED headlight, sensing wipers. Electric seat. Reverse camera. Auto folding side mirror. Multi function steering.",10.0,4 Series,9356.0,2019.0,Coupe,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,4.0,1620.8616780045352,59.803
Maserati GranTurismo S 4.7A ,151800,17300,114869,4691,323,28-Dec-2012,8.76,5,53305,53305,"COE Car, Premium Ad Car",494.0,GranTurismo,30307.0,2012.0,Coupe,8.0,Gasoline,Rear,Automatic,4.0,1979.5918367346935,74.94300000000001
Mercedes-Benz CLA-Class CLA200 Urban,85800,20310,70400,1595,115,18-Sep-2017,3.49,2,30590,29826,"Factory fitted original 18"" sports rims. Fully keyless. Electric/memory leather seats. Audio system with reverse camera. Solar film.",301.0,CLA-Class,17178.0,2017.0,Sedan,I4,premium unleaded (required),all wheel drive,7-speed shiftable automatic,5.0,1564.625850340136,56.01800000000001
Honda Civic 1.5A VTEC Turbo Sunroof,61688,17520,95100,1498,127,5-Jan-2017,2.79,1,27624,25674,Factory fitted touchscreen audio system with Bluetooth. Reverse sensors/camera. Left blindspot monitor. Sunroof. Rear aircon. Rear knockdown seats.,216.0,Civic,16503.0,2017.0,Hatchback,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1339.6825396825395,46.934000000000005
Mercedes-Benz CLA-Class CLA45 S AMG 4MATIC+,272000,35630,44000,1991,310,25-Aug-2020,6.42,2,63324,85984,"C&C unit with 1.5 years factory warranty left. Factory 360 degree camera, auto cruise control, blackout package. No engine mods, 19 inch Rays wheels. Metallic white not the usual plain white.",301.0,CLA-Class,8254.0,2020.0,Sedan,I4,premium unleaded (required),all wheel drive,7-speed automated manual,5.0,1589.5691609977323,51.0975
Toyota Corolla Altis 1.6A Elegance ,55800,10920,158256,1598,80,1-Jul-2009,5.02,2,17500,17500,Premium Upholstery Leather Seats. Knockdown Rear Seats. Sports Rims/New Tyres. Toyota DVD Monitor. Front And Back IRoad In-Car Camera,364.0,Corolla,37661.0,2009.0,Sedan,4.0,Gasoline,Front,Automatic,5.0,1244.8979591836735,49.962
Toyota Camry 2.5A,65500,15960,133500,2494,133,13-Apr-2017,3.06,3,29570,33398,"Well maintain and clean interior, optional for nice number SFFXXYYZ, feel free to give a reasonable offer, no consignment.",84.0,Camry,17896.0,2017.0,Sedan,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1469.3877551020407,64.345
Subaru Forester 2.0i-L Sunroof,56800,15780,84000,1995,110,9-May-2017,3.04,2,14835,14835,"PARF Car, Direct Owner Sale",354.0,Forester,17829.0,2017.0,SUV,flat 4,premium unleaded (required),all wheel drive,continuously variable-speed automatic,5.0,1656.689342403628,60.18150000000001
Volvo XC60 T5 Momentum,154777,23240,42000,1969,187,22-Nov-2019,5.67,1,38521,45930,"LED auto headlight/wiper, keyless entry/start, reverse camera and all round sensors, electric front seats, 9"" adaptive display, electric tailgate.",95.0,XC60,12147.0,2019.0,SUV,I4,premium unleaded (recommended),front wheel drive,8-speed shiftable automatic,5.0,1863.4920634920636,71.158
Mercedes-Benz CLA-Class CLA200 AMG Line ,126800,12670,132004,1595,115,5-Feb-2014,10.0,2,30161,24226,AMG line model with AMG body kit and rims! Bluetooth. Reverse camera/sensors! Dual tone leather seats with suede! Dual electrical seats with memory!,301.0,CLA-Class,25501.0,2014.0,Compact Cars,4.0,Premium Unleaded (Recommended),Front Wheel Driv,Automated Manual,5.0,1479.3650793650793,49.5835
Volkswagen Golf Mild Hybrid 1.5A eTSI DSG Life,131800,16920,20546,1498,110,15-Oct-2021,7.56,1,21851,7592,"Keyless entry/start, reverse camera, carplay/Android Auto, blindspot monitor, digital instrument panel, cruise control.",385.0,Golf,6199.0,2021.0,Compact Cars,4.0,Diesel,Front Wheel Driv,Automated Manual,5.0,1420.8616780045352,49.962
Hyundai Elantra 1.6A GLS Elite,48588,14960,102000,1591,93,18-Nov-2016,2.65,2,17659,17659,"Sports Rims, Leather Seats, Driver Electric Seats With Memory, Ventilated/Heated Seats, Factory Fitted Infotainment System With Reverse Cam, Rear A/C",440.0,Elantra GT,19581.0,2016.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1317.0068027210884,49.962
Hyundai Elantra 1.6A GLS Elite,48588,14960,102000,1591,93,18-Nov-2016,2.65,2,17659,17659,"Sports Rims, Leather Seats, Driver Electric Seats With Memory, Ventilated/Heated Seats, Factory Fitted Infotainment System With Reverse Cam, Rear A/C",440.0,Elantra GT,19581.0,2016.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1317.0068027210884,49.962
Honda Civic 1.5A VTEC Turbo Sunroof,54800,17130,84000,1498,127,26-Sep-2016,2.51,3,26078,23510,"Driver's electric seat, reverse camera/sensor, keyless entry/start/stop, rear aircon, auto lights and rain sensing wiper, Apple/Android CarPlay.",216.0,Civic,19494.0,2016.0,Sedan,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1269.3877551020407,46.934000000000005
Mercedes-Benz E-Class E200,49800,19650,134833,1991,135,22-Jun-2015,0.25,2,45353,50495,"Dual electric memory seat, factory fitted audio unit, rev cam/sensor, rear aircon, auto tailgate, ECO, sports mode, auto rain sensor, auto rear blind.",303.0,E-Class,22900.0,2015.0,Sedan,I4,diesel fuel,rear wheel drive,7-speed shiftable automatic,5.0,1904.7619047619048,79.8635
Volkswagen Passat CC 1.8T ,76800,12430,150000,1798,118,27-May-2010,6.18,4,30821,30821,"No repair needed, road legal upgrades, 100% loan available. Excellent showroom condition! No gimmicks, test drive prior to purchase. Warranty provided, 24/7 breakdown recovery service in case of emergency. We welcome STA or pre purchase inspection. Reputable company with good track records, check out our reviews too! Call us now for viewing or enquiries.",390.0,Passat,35587.0,2010.0,Sedan,4.0,Gasoline,Front,Manual,5.0,1510.657596371882,70.02250000000001
BMW 1 Series 116d,59800,16850,66000,1496,85,31-May-2017,3.19,1,25094,12132,"Multi function steering wheel, keyless comfort access, xenon headlights, auto climate control. 18"" sports rims.",147.0,X1,15450.0,2017.0,SUV,I4,premium unleaded (required),front wheel drive,8-speed shiftable automatic,5.0,1606.8027210884354,60.938500000000005
Toyota Corolla Altis Hybrid 1.8A Elegance,118800,16700,50000,1798,90,27-Aug-2020,6.43,1,29120,22768,"Full Toyota Safety Sense, electric seats, adaptive cruise control, multi function steering wheel, keyless entry/engine start.",364.0,Corolla,8879.0,2020.0,Sedan,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1319.7278911564626,49.962
Toyota C-HR 1.2A Turbo Active,75800,14850,53100,1197,85,21-May-2018,4.08,1,25647,27906,"Sport Rims, Leather Upholstery, Park Assist With Reverse Camera, Retractable Side Mirror, Dual Zone Climate Aircon And Fog Light.",363.0,C-HR,14936.0,2018.0,SUV,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1496.5986394557822,49.962
Volkswagen Passat 1.8A TFSI,71800,15520,83000,1798,132,27-Nov-2017,3.68,2,30203,29285,Original headunit with Bluetooth and navigation system. Rear aircon. Retractable side mirrors. Reverse sensors. New front dashcam & Rear recorder,390.0,Passat,18145.0,2017.0,Sedan,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1479.8185941043084,70.02250000000001
Honda HR-V 1.5A LX,85800,14730,71000,1496,96,11-Apr-2019,5.05,1,21944,22722,"Roof rail! 7"" Touchscreen Display! 6-speaker System! 6 Airbags! Multi-function Steering! Paddle Shifters! Keyless Entry! Keyless Engine Start!",40.0,HR-V,10433.0,2019.0,SUV,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1341.9501133786848,49.962
Volkswagen Passat 1.8A TFSI,46800,14740,127000,1798,132,29-Apr-2016,2.02,2,31895,31653,"Memory seat with massage function, apple/Android carplay, auto LED light, 3 zone climate with rear aircon, know down rear seat, reverse sensor",390.0,Passat,20981.0,2016.0,Sedan,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1479.8185941043084,70.02250000000001
Volvo XC60 T6 ,80800,11990,143541,2953,224,17-Dec-2010,6.73,3,45961,45961,"Dual memory electric leather seats, sports rim, factory fitted audio/Bluetooth, auto tailgate, rear aircon, auto folding mirrors, auto rain sensor.",95.0,XC60,35628.0,2010.0,SUV,6.0,Gasoline,Front,Automatic,5.0,1819.501133786848,70.02250000000001
Honda Odyssey 2.4A EXV-S Sunroof,170000,21820,35300,2356,129,19-Feb-2021,6.91,2,33022,38231,"Leather seats, sports rims, touch screen audio player, Bluetooth, electric seats, 2 power sliding doors, LED DRL, electric tailgate.",41.0,Odyssey,4724.0,2021.0,Minivan,6.0,Regular Unleaded,Front Wheel Driv,Automatic,8.0,2087.528344671202,73.8075
Porsche Cayman S 3.4A Tip ,78000,29720,155000,3387,217,6-Nov-2006,2.62,6,96295,105925,"Sport chrono package, sports mode, Bose sound system, Apple CarPlay system, electric and memory seats, front and rear camera, alcantara roof.",581.0,Cayman,44361.0,2006.0,Coupe,6.0,Gasoline - Premium,Rear,Manual,2.0,1339.6825396825395,63.9665
Toyota Corolla Altis 1.6A ,67800,10940,192700,1598,80,3-Jun-2010,6.2,2,16716,16716,"Leather seats, factory fitted audio system, multi-function steering control, reverse sensors, knockdown rear seats.",364.0,Corolla,35377.0,2010.0,Sedan,4.0,Gasoline,Front,Manual,5.0,1244.8979591836735,49.962
Mercedes-Benz GLC-Class GLC250 Coupe AMG Line 4MATIC,141888,28740,82552,1991,155,25-Jan-2018,3.84,3,50459,62827,"Just arrived, luxury and sporty GLC250 Mercedes-Benz SUV. View to believe. Well maintained. $0 drive away, loan guaranteed approved. All bad credit and ex-bankruptcy welcome. High trade in. Call now for more detail.",307.0,GLC-Class,14266.0,2018.0,SUV,V6,premium unleaded (required),all wheel drive,9-speed shiftable automatic,5.0,1879.8185941043084,65.859
Porsche 911 Carrera S Coupe 3.8A PDK Sunroof ,333000,40220,124000,3800,294,22-Aug-2012,8.27,3,140650,140650,"Sports Chrono, Sunroof, Keyless Entry/Start, BOSE System, Sports Exhaust, 14-Way Seats, Bodykit, Surround sensors & inbuilt Reverse Camera module.",338.0,911,30645.0,2012.0,Coupe,6.0,Gasoline,Rear,7-speed manual,4.0,1394.5578231292516,63.9665
Toyota Corolla Altis 1.6A ,62800,12770,86486,1598,90,20-Feb-2014,4.91,1,18544,13544,"Keyless entry, leather seats, factory fitted audio system, multi function steering control, reverse sensors/camera.",364.0,Corolla,26046.0,2014.0,Compact Cars,4.0,Regular Unleaded,Front Wheel Driv,Automatic,5.0,1278.9115646258504,49.962
Honda Civic 1.5A VTEC Turbo Sunroof,69800,17290,73300,1498,127,13-Jul-2017,3.3,1,27298,25218,"Keyless entry and start/stop, touch screen audio system, reverse camera and sensors, rear aircon, auto LED head light.",216.0,Civic,16503.0,2017.0,Hatchback,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1339.6825396825395,46.934000000000005
Audi A3 Sedan 1.0A TFSI S-tronic,72800,14350,110507,999,85,14-May-2018,4.06,4,24712,26597,"18"" Sports Rims, Leather Seats, Factory Fitted Audio System, Reverse Sensors/Camera, 3M Solar Film, Carbon-Fibre Interior, Original In-Car Cameras.",507.0,A3 Sportback e-tron,12249.0,2018.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed automated manual,5.0,1639.9092970521542,40.121
Honda Accord 1.5A VTEC Turbo Sunroof,139800,20130,50300,1498,148,23-Dec-2019,5.75,1,39894,47852,"Keyless entry/start, navigation, CarPlay, adaptive cruise control, 360 camera, lane departure warning, collision warning, remote engine start.",215.0,Accord Hybrid,10382.0,2019.0,Sedan,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1515.6462585034012,48.44800000000001
Honda Stream 1.8A ,47888,12680,148000,1799,103,18-Jan-2008,3.77,1,23245,25570,Rare 1 owner unit! Road tax paid until 2025. Super well maintained. Best choice for MPV. Premium soul red color. Flexible finance are available. Trade in is welcomed. Contact our friendly sales advisors now for viewing arrangement.,honda,Stream,1.7i ES,2008.0,Minivan,4.0,Gasoline - Premium,Front,Manual,7.0,1434.0,55.0
BMW X1 sDrive18i,58800,18310,125000,1499,100,26-Aug-2016,2.42,1,29796,28715,"Electric seats, comfort access, iDrive, Bluetooth, navi, reverse camera, drive experience control, contactless boot release and auto tailgate.",147.0,X1,18442.0,2016.0,SUV,I4,premium unleaded (required),all wheel drive,8-speed shiftable automatic,5.0,1659.863945578231,60.938500000000005
Subaru Impreza 5D 1.6i-S ,62800,12550,26288,1600,84,29-Aug-2014,5.0,1,13794,13794,"Leather seats, sports rims, factory fitted audio system, retractable side mirrors, multi function steering, cruise control, rear knockdown seats.",79.0,Impreza,25962.0,2014.0,Small Station Wagons,4.0,Regular Unleaded,All Wheel Drive,Automatic,5.0,1385.0340136054422,54.8825
Lexus IS Turbo IS300 Executive,139800,20930,34000,1998,180,14-Oct-2019,5.56,1,39083,46717,"19"" Prodrue Sports rims, leather seats, keyless entry/start, head-up display, GPS, Bluetooth, reverse sensor/camera, electric seats, sport steering.",270.0,IS,10939.0,2019.0,Sedan,I4,premium unleaded (required),rear wheel drive,8-speed shiftable automatic,5.0,1624.9433106575964,65.859
Subaru Forester 2.0i-L Sunroof,50800,15240,107500,1995,110,17-Jan-2017,2.82,3,15589,15589,"Sunroof, keyless entry/start/stop, auto head lights, knockdown rear seats, Bluetooth, driver electric seat, reverse camera, retractable side mirror.",354.0,Forester,17829.0,2017.0,SUV,flat 4,premium unleaded (required),all wheel drive,continuously variable-speed automatic,5.0,1656.689342403628,60.18150000000001
Volvo S60 Mild Hybrid B4 2.0A R-Design,184888,21690,33416,1969,145,28-Oct-2021,7.6,1,34254,39956,Keyless Entry/ Start Stop. Premium Electric Nappa Leather Upholstery. High Performance Sound System. R-Design Bodykit. Full Option Specs.,88.0,S60,6236.0,2021.0,Compact Cars,5.0,Regular Unleaded,All Wheel Drive,Automatic,5.0,2016.7800453514735,60.18150000000001
Mercedes-Benz E-Class E180 Avantgarde,168000,20660,55000,1497,115,15-Dec-2020,6.73,2,46968,57756,Navigation. Bluetooth. Keyless entry/start/stop. Ambient light. Electric seats with memory function. DRL. Auto headlights.,303.0,E-Class,8270.0,2020.0,Coupe,I6,premium unleaded (required),all wheel drive,9-speed shiftable automatic,4.0,2008.6167800453516,65.859
Honda Odyssey 2.4A EX-S 8-Seater,68800,18970,108000,2356,129,27-Dec-2016,2.76,1,29103,32745,"Twin auto sliding doors, cruise control, touchscreen audio, climatic aircon, reverse camera and sensor, side mirror indicator.",41.0,Odyssey,19540.0,2016.0,Minivan,V6,regular unleaded,front wheel drive,6-speed automatic,8.0,2027.2108843537412,79.485
BMW 2 Series 220i Coupe Sunroof,86800,25570,80400,1998,135,7-Dec-2016,2.71,2,34319,35047,"Premium Leather Seat, Sunroof, 18"" Forged rims, Full M2 bodykit, Carbon Fibre trims, Full Exhaust System.",140.0,2 Series,18367.0,2016.0,Coupe,I4,premium unleaded (required),rear wheel drive,6-speed manual,4.0,1494.331065759637,51.8545
Land Rover Discovery Sport 2.0A Si4 SE 7-Seater,99800,22400,98226,1999,177,31-May-2017,3.19,1,46235,56729,"Sport Rims, Premium Leather Seats, Touch Screen Infotainment System, Bluetooth/navigation, Reverse Camera,LED Daytime Running Light,electric Tailgate.",63.0,Range Rover,16964.0,2017.0,SUV,V8,premium unleaded (recommended),four wheel drive,8-speed shiftable automatic,5.0,2335.6009070294785,104.8445
Mercedes-Benz C-Class C180 Avantgarde,107200,22070,97368,1595,115,30-Jan-2018,3.85,1,37239,44135,"LED DRL headlights, electric memory leather seats, Bluetooth, auto fold mirrors, reverse camera, sensors, kick boot, auto tailgate, keyless entry.",300.0,C-Class,14223.0,2018.0,Coupe,V6,premium unleaded (required),all wheel drive,9-speed shiftable automatic,4.0,1799.5464852607709,65.859
Subaru Forester 2.0i-L Sunroof,28800,14540,139056,1995,110,19-Sep-2015,0.49,1,14191,14191,Premium Upholstery Electric Seats. Knockdown Rear Seats. Bluetooth DVD Monitor. Reverse Camera,354.0,Forester,23453.0,2015.0,SUV,flat 4,premium unleaded (required),all wheel drive,continuously variable-speed automatic,5.0,1643.5374149659865,60.18150000000001
Subaru Forester 2.0i-L Sunroof,36800,14380,136597,1995,110,30-Mar-2016,2.02,1,15515,15515,"Sunroof, dual electric seats, sport rim, auto HID DRL/headlight, auto rain sensor, factory fitted audio/BT/Rev cam/sensor, auto knockdown rear seats.",354.0,Forester,20620.0,2016.0,SUV,flat 4,premium unleaded (required),all wheel drive,continuously variable-speed automatic,5.0,1643.5374149659865,60.18150000000001
Toyota Corolla Axio 1.5A X ,54800,10550,149253,1496,81,11-Sep-2009,5.19,3,15475,15475,Premium Upholstery Leather Seats. Sports Rims/New Tyres. Android Bluetooth Monitor. Reverse Camera. Front Blackvue In-Car Camera.,364.0,Corolla,37661.0,2009.0,Sedan,4.0,Gasoline,Front,Automatic,5.0,1244.8979591836735,49.962
Toyota C-HR Hybrid 1.8A S LED,76800,16910,68909,1797,90,20-Jun-2018,4.24,1,27143,10001,"Leather Seats, Sport Rims. Reverse Camera And Sensor, Multi Function Steering Wheel.",363.0,C-HR,14936.0,2018.0,SUV,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1496.5986394557822,49.962
Toyota C-HR Hybrid 1.8A S LED,76800,16910,68909,1797,90,20-Jun-2018,4.24,1,27143,10001,"Leather Seats, Sport Rims. Reverse Camera And Sensor, Multi Function Steering Wheel.",363.0,C-HR,14936.0,2018.0,SUV,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1496.5986394557822,49.962
Audi A4 1.4A TFSI S-tronic,73800,18690,129600,1395,110,9-Jun-2017,3.21,1,32490,27486,"Full conversion to S4, black honeycomb grill, bodykit, RS carbon steering, quad dummy exhaust, RS4 instrumental cluster, 19"" BBS rims and RS mirror.",104.0,A4,15295.0,2017.0,Sedan,I4,premium unleaded (recommended),front wheel drive,7-speed automated manual,5.0,1579.5918367346935,57.910500000000006
Audi A4 1.4A TFSI S-tronic,73800,18690,129600,1395,110,9-Jun-2017,3.21,1,32490,27486,"Full conversion to S4, black honeycomb grill, bodykit, RS carbon steering, quad dummy exhaust, RS4 instrumental cluster, 19"" BBS rims and RS mirror.",104.0,A4,15295.0,2017.0,Sedan,I4,premium unleaded (recommended),front wheel drive,7-speed automated manual,5.0,1579.5918367346935,57.910500000000006
Honda Civic 1.6A VTi,51800,15820,158500,1597,92,16-Nov-2016,2.65,2,19689,19689,"Sports rims, leather seats, factory fitted audio system, multi function steering, reverse camera/sensors, retractable side mirror.",216.0,Civic,19494.0,2016.0,Sedan,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1269.3877551020407,46.934000000000005
BMW X1 sDrive18i M-Sport,163800,18810,69330,1499,100,20-Aug-2021,7.41,1,40515,48721,"18"" m sports rims, GPS/audio sound system, 2 x electric seats/memory, 2 zone climatic aircon, auto start/stop, cruise control, rear knockdown seats.",147.0,X1,3718.0,2021.0,Sport Utility Vehicles,4.0,Premium Unleaded (Required),Rear Wheel Drive,Automatic,5.0,1617.6870748299318,60.938500000000005
Jaguar F-PACE 2.0A R-Sport Sunroof,152800,23260,76590,1997,184,28-Feb-2019,4.93,1,57667,75801,Keyless Entry/ Start Stop. Premium Dual-Tone Indented Leather Electric Upholstery Seats. Factory Infotainment. Factory Rims. Sunroof. Etc.,48.0,F-PACE,10631.0,2019.0,SUV,I4,diesel fuel,all wheel drive,8-speed shiftable automatic,5.0,1768.7074829931971,60.18150000000001
Land Rover Discovery Sport Diesel 2.0A HSE 7-Seater Sunroof,106965,22300,109881,1999,132,31-Aug-2017,3.44,3,48918,60486,Keyless Entry/ Start Stop. Premium Electric Leather Memory Seats. Original Infotainment. Meridian 380W Sound System. Full Options HSE Unit. Etc.,63.0,Range Rover,16964.0,2017.0,SUV,V8,premium unleaded (recommended),four wheel drive,8-speed shiftable automatic,5.0,2335.6009070294785,104.8445
Maserati Ghibli S 3.0A,179800,36080,93077,2979,302,21-Feb-2017,2.91,2,98352,149034,"19"" sport rims, GPS/Bluetooth/audio sound system, 2 x electric memory leather seat, auto climatic aircon control, keyless entry/start, reverse camera",282.0,Ghibli,17074.0,2017.0,Sedan,V6,premium unleaded (required),rear wheel drive,8-speed shiftable automatic,5.0,1809.5238095238092,79.8635
Mercedes-Benz C-Class C180 Avantgarde,104500,19730,120000,1595,115,23-May-2018,4.17,1,37480,44472,"LED DRL Headlights, Electric Memory Leather Seats, Bluetooth, Auto Fold Mirrors, Reverse Camera, Sensors, Kick Boot, Auto Tailgate, Keyless Entry.",300.0,C-Class,14223.0,2018.0,Coupe,V6,premium unleaded (required),all wheel drive,9-speed shiftable automatic,4.0,1799.5464852607709,65.859
Toyota C-HR 1.2A Turbo Active,98800,14730,54219,1197,85,24-Dec-2019,5.75,1,25646,27905,"PARF Car, Premium Ad Car",363.0,C-HR,11867.0,2019.0,SUV,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1496.5986394557822,49.962
BMW 2 Series 216d Gran Tourer,73800,18970,143800,1496,85,6-Jun-2017,3.21,1,31438,26014,"Bluetooth, Navigation, Electric memory seats, reverse sensors, reverse camera, electric tailgate, 7 seater.",140.0,2 Series,15381.0,2017.0,Convertible,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,4.0,1668.9342403628118,51.8545
Mercedes-Benz GLA-Class GLA180 Urban Edition,80000,18160,78800,1595,90,1-Dec-2017,3.69,4,27747,25846,Keyless start/stop. Dual electric/memory seats. Cruise control. Carplay/Android. Electric tailgate. Knockdown rear seats. Reverse camera/sensors.,305.0,GLA-Class,17202.0,2017.0,SUV,I4,premium unleaded (required),all wheel drive,7-speed shiftable automatic,5.0,1567.8004535147393,56.01800000000001
